,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.12467408180236816,0.007610080918070737,0.10470409393310547,0.00035343517563209305,gini,1,11,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 11}",0.6785714285714286,0.8518518518518519,0.7777777777777778,0.9230769230769231,0.9230769230769231,0.8283582089552238,0.09378898920375534,201,1.0,0.9813084112149533,1.0,1.0,1.0,0.9962616822429906,0.007476635514018694
1,0.12553052902221679,0.0035664436890087306,0.10663504600524902,0.0016859077883985983,gini,1,21,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 21}",0.7142857142857143,0.9259259259259259,0.7407407407407407,0.8846153846153846,0.8846153846153846,0.8283582089552238,0.08609365548395669,201,1.0,0.9813084112149533,1.0,1.0,1.0,0.9962616822429906,0.007476635514018694
2,0.13297886848449708,0.004172293832933996,0.10897183418273926,0.0019077616899980216,gini,1,31,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 31}",0.7857142857142857,0.9259259259259259,0.8148148148148148,0.9230769230769231,0.8461538461538461,0.8582089552238806,0.056975333643843794,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.13087987899780273,0.009366552093998875,0.11299672126770019,0.007197665525358055,gini,1,41,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 41}",0.7857142857142857,0.9629629629629629,0.8148148148148148,0.8846153846153846,0.8076923076923077,0.8507462686567164,0.06529467816214155,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.1653444766998291,0.03219059633218078,0.12064905166625976,0.0028041637173364282,gini,1,51,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 51}",0.75,0.9629629629629629,0.8148148148148148,0.8846153846153846,0.8076923076923077,0.8432835820895522,0.07378925692019693,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.1319943904876709,0.008685584792911866,0.1312411308288574,0.021133971865826755,gini,1,61,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 61}",0.7857142857142857,0.9629629629629629,0.8148148148148148,0.9230769230769231,0.8461538461538461,0.8656716417910447,0.06691482501707563,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.16730232238769532,0.021739509264800342,0.10645670890808105,0.002164105243153625,gini,1,71,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 71}",0.7857142857142857,0.9629629629629629,0.8148148148148148,0.8846153846153846,0.8076923076923077,0.8507462686567164,0.06529467816214155,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.16790351867675782,0.01472428112811483,0.10493922233581543,0.0004279376929287682,gini,1,81,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 81}",0.7857142857142857,0.9629629629629629,0.8148148148148148,0.8846153846153846,0.8076923076923077,0.8507462686567164,0.06529467816214155,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.15782527923583983,0.010073103120460038,0.11085309982299804,0.0033871296056628745,gini,1,91,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 91}",0.7857142857142857,0.9629629629629629,0.8518518518518519,0.8846153846153846,0.8076923076923077,0.8582089552238806,0.06283159037007174,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0.19510483741760254,0.04391861266149868,0.12109503746032715,0.006587824017482204,gini,1,101,"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 101}",0.7142857142857143,0.9629629629629629,0.8148148148148148,0.8846153846153846,0.8076923076923077,0.835820895522388,0.08395224557023044,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
